1917	keyerror
Megamind	['Will Ferrell', 'Tina Fey', 'Jonah Hill', 'David Cross', 'Brad Pitt', 'J.K. Simmons', 'Ben Stiller']
	['Zhang Ziyi', 'Ken Watanabe', 'Michelle Yeoh', 'Kōji Yakusho', 'Youki Kudoh', 'Kaori Momoi', 'Gong Li']
Men in Black	error
Men in Black 3	['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Jemaine Clement', 'Michael Stuhlbarg', 'Emma Thompson']
	['Tommy Lee Jones', 'Will Smith', 'Lara Flynn Boyle', 'Johnny Knoxville', 'Rosario Dawson', 'Tony Shalhoub', 'Rip Torn']
Miami Vice	0
	['Tom Cruise', 'Colin Farrell', 'Samantha Morton', 'Max von Sydow']
	['Julia Roberts', 'Lily Collins', 'Armie Hammer', 'Nathan Lane', 'Mare Winningham', 'Michael Lerner', 'Sean Bean']
Mission to Mars	['Gary Sinise', 'Don Cheadle', 'Connie Nielsen',"Jerry O'Connell", 'Kim Delaney', 'Tim Robbins']
Mission: Impossible	keyerror
	['Jeremy Renner', 'Simon Pegg', 'Paula Patton']
	['Jeremy Renner', 'Simon Pegg', 'Rebecca Ferguson', 'Ving Rhames', 'Sean Harris', 'Alec Baldwin']
Mission: Impossible 2	['Dougray Scott', 'Thandiwe Newton', 'Richard Roxburgh', 'John Polson', 'Brendan Gleeson', 'Rade Šerbedžija', 'Ving Rhames']
Mission: Impossible III	['Philip Seymour Hoffman', 'Ving Rhames', 'Billy Crudup', 'Michelle Monaghan', 'Jonathan Rhys Meyers', 'Keri Russell', 'Maggie Q', 'Laurence Fishburne']
Monsters vs. Aliens	['Reese Witherspoon', 'Seth Rogen', 'Hugh Laurie', 'Will Arnett', 'Kiefer Sutherland', 'Rainn Wilson', 'Paul Rudd', 'Stephen Colbert', 'Amy Poehler']
	['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Charlie Plummer', 'Michael Peña', 'Donald Sutherland']
	['Hera Hilmar', 'Robert Sheehan', 'Hugo Weaving', 'Jihae', 'Ronan Raftery', 'Leila George', 'Patrick Malahide', 'Stephen Lang']
	['Brad Pitt', 'Angelina Jolie', 'Vince Vaughn', 'Adam Brody', 'Kerry Washington']
Mr. Peabody & Sherman	['Ty Burrell', 'Max Charles', 'Ariel Winter', 'Stephen Colbert', 'Leslie Mann', 'Allison Janney']
	keyerror
National Treasure	error
Night at the Museum	['Ben Stiller', 'Carla Gugino', 'Dick Van Dyke', 'Mickey Rooney', 'Bill Cobbs', 'Robin Williams']
Night at the Museum: Battle of the Smithsonian	['Ben Stiller', 'Amy Adams', 'Owen Wilson', 'Hank Azaria', 'Christopher Guest', 'Alain Chabat', 'Steve Coogan', 'Ricky Gervais', 'Bill Hader', 'Jon Bernthal', 'Robin Williams']
Night at the Museum: Secret of the Tomb	['Ben Stiller', 'Robin Williams', 'Owen Wilson', 'Dan Stevens', 'Ben Kingsley']
No Time to Die	['Daniel Craig', 'Rami Malek', 'Léa Seydoux', 'Lashana Lynch', 'Ben Whishaw', 'Naomie Harris', 'Jeffrey Wright', 'Christoph Waltz', 'Ralph Fiennes']
Noah	keyerror
	0
Now You See Me 2	['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Dave Franco', 'Daniel Radcliffe', 'Lizzy Caplan', 'Jay Chou', 'Sanaa Lathan', 'Michael Caine', 'Morgan Freeman']
Nutty Professor II: The Klumps	0
	['George Clooney', 'Matt Damon', 'Andy García', 'Brad Pitt', 'Julia Roberts']
	['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Ellen Barkin', 'Al Pacino', 'Casey Affleck', 'Scott Caan', 'Eddie Jemison', 'Shaobo Qin', 'Carl Reiner', 'Elliott Gould']
Pearl Harbor	error
Penguins of Madagascar	0
Percy Jackson & the Olympians: The Lightning Thief	['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman']
